step,x_center,y_center,width,height,area,label,time
94,79.5,52.5,13,39,153.0,Blue,0.033722877502441406
94,122.0,52.5,76,47,2405.0,Blue,0.033722877502441406
94,7.5,51.5,15,55,512.0,Red,0.033722877502441406
94,143.0,13.5,28,27,464.5,Red,0.033722877502441406
95,136.0,52.0,48,52,2211.0,Blue,0.03317594528198242
95,13.5,115.0,27,10,106.5,Green,0.03317594528198242
95,27.0,52.0,54,48,2254.5,Red,0.03317594528198242
96,136.0,52.0,48,52,2211.0,Blue,0.03381013870239258
96,13.5,115.0,27,10,106.5,Green,0.03381013870239258
96,27.0,52.0,54,48,2254.5,Red,0.03381013870239258
97,149.5,52.0,21,56,999.0,Blue,0.032796382904052734
97,41.5,105.5,83,29,354.5,Green,0.032796382904052734
97,46.5,50.0,65,44,2593.5,Red,0.032796382904052734
97,155.0,11.0,10,22,183.0,Black,0.032796382904052734
98,149.5,52.0,21,56,999.0,Blue,0.03327202796936035
98,41.5,105.5,83,29,354.5,Green,0.03327202796936035
98,46.5,50.0,65,44,2593.5,Red,0.03327202796936035
98,155.0,11.0,10,22,183.0,Black,0.03327202796936035
99,70.5,114.0,51,12,244.5,Green,0.03223299980163574
99,73.5,50.0,63,44,2419.0,Red,0.03223299980163574
100,70.5,114.0,51,12,244.5,Green,0.032541513442993164
100,73.5,50.0,63,44,2419.0,Red,0.032541513442993164
101,149.5,72.0,21,16,259.5,Blue,0.03209376335144043
101,84.0,112.5,58,15,314.5,Green,0.03209376335144043
101,72.5,50.0,113,44,2340.0,Red,0.03209376335144043
102,149.5,72.0,21,16,259.5,Blue,0.03250932693481445
102,84.0,112.5,58,15,314.5,Green,0.03250932693481445
102,72.5,50.0,113,44,2340.0,Red,0.03250932693481445
103,113.0,112.5,56,15,265.0,Green,0.03233599662780762
103,52.5,56.0,67,8,411.5,Green,0.03233599662780762
103,87.5,67.0,87,12,420.5,Red,0.03233599662780762
103,113.0,39.0,62,22,1227.5,Red,0.03233599662780762
104,113.0,112.5,56,15,265.0,Green,0.032752037048339844
104,52.5,56.0,67,8,411.5,Green,0.032752037048339844
104,87.5,67.0,87,12,420.5,Red,0.032752037048339844
104,113.0,39.0,62,22,1227.5,Red,0.032752037048339844
105,9.5,109.0,19,22,249.5,Blue,0.03253960609436035
105,149.0,109.0,22,14,118.0,Green,0.03253960609436035
105,140.0,51.0,40,48,1661.0,Red,0.03253960609436035
106,9.5,109.0,19,22,249.5,Blue,0.032117605209350586
106,149.0,109.0,22,14,118.0,Green,0.032117605209350586
106,140.0,51.0,40,48,1661.0,Red,0.032117605209350586
107,154.0,50.0,12,44,454.5,Red,0.03244924545288086
108,154.0,50.0,12,44,454.5,Red,0.03190112113952637
109,18.5,7.0,37,14,238.5,Black,0.03218245506286621
110,18.5,7.0,37,14,238.5,Black,0.031836509704589844
111,34.0,12.0,34,14,302.0,Red,0.032582759857177734
111,24.5,5.0,49,10,159.5,Black,0.032582759857177734
112,34.0,12.0,34,14,302.0,Red,0.03193831443786621
112,24.5,5.0,49,10,159.5,Black,0.03193831443786621
113,151.5,115.0,17,10,102.0,Blue,0.03226757049560547
113,64.5,10.0,41,20,480.5,Red,0.03226757049560547
114,151.5,115.0,17,10,102.0,Blue,0.03203010559082031
114,64.5,10.0,41,20,480.5,Red,0.03203010559082031
115,97.0,9.0,40,18,422.5,Red,0.031903743743896484
116,97.0,9.0,40,18,422.5,Red,0.03222489356994629
117,120.0,10.0,40,20,425.0,Red,0.031250953674316406
118,120.0,10.0,40,20,425.0,Red,0.031844139099121094
119,130.0,10.0,40,20,363.0,Red,0.03132367134094238
119,144.0,7.0,22,14,133.5,Black,0.03132367134094238
120,130.0,10.0,40,20,363.0,Red,0.03216075897216797
120,144.0,7.0,22,14,133.5,Black,0.03216075897216797
145,8.0,54.5,16,33,317.0,Blue,0.03128480911254883
146,8.0,54.5,16,33,317.0,Blue,0.03153038024902344
147,20.5,53.0,41,36,946.5,Blue,0.03160905838012695
148,20.5,53.0,41,36,946.5,Blue,0.03190732002258301
149,30.5,53.5,47,31,821.0,Blue,0.031287431716918945
150,30.5,53.5,47,31,821.0,Blue,0.03184390068054199
151,5.5,44.5,11,15,117.5,Black,0.031230688095092773
152,5.5,44.5,11,15,117.5,Black,0.03184914588928223
155,145.0,52.5,14,37,272.0,Blue,0.0314335823059082
156,145.0,52.5,14,37,272.0,Blue,0.03179335594177246
157,155.0,49.5,10,25,109.0,Blue,0.03133535385131836
158,155.0,49.5,10,25,109.0,Blue,0.03181791305541992
163,12.0,50.5,24,31,559.5,Blue,0.031235218048095703
164,12.0,50.5,24,31,559.5,Blue,0.032028913497924805
165,38.5,44.0,55,36,1453.0,Blue,0.03282427787780762
166,38.5,44.0,55,36,1453.0,Blue,0.031775712966918945
167,61.0,44.0,48,34,1045.0,Blue,0.03157186508178711
168,61.0,44.0,48,34,1045.0,Blue,0.032193899154663086
169,105.0,44.5,58,31,1321.0,Blue,0.0321042537689209
170,105.0,44.5,58,31,1321.0,Blue,0.03223729133605957
171,130.0,43.5,60,33,1770.0,Blue,0.03224444389343262
171,11.5,27.5,23,11,188.0,Black,0.03224444389343262
172,130.0,43.5,60,33,1770.0,Blue,0.035495758056640625
172,11.5,27.5,23,11,188.0,Black,0.035495758056640625
173,145.5,43.0,29,36,947.0,Blue,0.03163719177246094
173,4.0,52.0,8,36,183.5,Green,0.03163719177246094
173,25.5,16.5,51,33,605.0,Black,0.03163719177246094
173,9.5,27.5,19,11,149.0,Black,0.03163719177246094
174,145.5,43.0,29,36,947.0,Blue,0.032009124755859375
174,4.0,52.0,8,36,183.5,Green,0.032009124755859375
174,25.5,16.5,51,33,605.0,Black,0.032009124755859375
174,9.5,27.5,19,11,149.0,Black,0.032009124755859375
175,3.0,55.5,6,47,125.0,Blue,0.03638195991516113
175,29.0,49.0,32,32,738.5,Green,0.03638195991516113
175,9.0,15.0,18,30,233.0,Red,0.03638195991516113
175,70.0,29.5,28,7,109.0,Black,0.03638195991516113
175,29.5,16.0,31,32,712.5,Black,0.03638195991516113
176,3.0,55.5,6,47,125.0,Blue,0.03271770477294922
176,29.0,49.0,32,32,738.5,Green,0.03271770477294922
176,9.0,15.0,18,30,233.0,Red,0.03271770477294922
176,70.0,29.5,28,7,109.0,Black,0.03271770477294922
176,29.5,16.0,31,32,712.5,Black,0.03271770477294922
177,20.0,53.5,40,51,1694.0,Blue,0.03231048583984375
177,61.0,48.0,28,30,559.5,Green,0.03231048583984375
177,30.5,15.0,31,30,366.5,Red,0.03231048583984375
177,98.5,29.0,29,8,117.0,Black,0.03231048583984375
177,58.0,16.0,30,32,626.0,Black,0.03231048583984375
178,20.0,53.5,40,51,1694.0,Blue,0.03281521797180176
178,61.0,48.0,28,30,559.5,Green,0.03281521797180176
178,30.5,15.0,31,30,366.5,Red,0.03281521797180176
178,98.5,29.0,29,8,117.0,Black,0.03281521797180176
178,58.0,16.0,30,32,626.0,Black,0.03281521797180176
179,39.5,50.5,79,51,3131.5,Blue,0.03286027908325195
179,99.0,48.0,26,28,529.0,Green,0.03286027908325195
179,66.5,14.5,25,29,168.0,Red,0.03286027908325195
179,135.0,27.5,36,9,179.0,Black,0.03286027908325195
179,92.0,15.5,30,31,533.0,Black,0.03286027908325195
179,18.0,12.0,10,24,130.5,Black,0.03286027908325195
180,39.5,50.5,79,51,3131.5,Blue,0.03357553482055664
180,99.0,48.0,26,28,529.0,Green,0.03357553482055664
180,66.5,14.5,25,29,168.0,Red,0.03357553482055664
180,135.0,27.5,36,9,179.0,Black,0.03357553482055664
180,92.0,15.5,30,31,533.0,Black,0.03357553482055664
