step,gs0,gs1,gs2,
528,940,936,941,
529,939,938,941,
530,939,938,941,
531,940,938,941,
532,940,938,941,
533,939,938,941,
534,939,938,941,
535,937,936,941,
536,937,936,941,
537,937,936,941,
538,937,936,941,
539,937,935,941,
540,938,935,940,
541,938,935,940,
542,938,937,941,
543,938,937,941,
544,938,938,940,
545,938,938,940,
546,939,938,940,
547,939,938,940,
548,938,936,939,
549,938,936,939,
550,938,938,941,
551,938,938,941,
552,939,936,940,
553,939,936,940,
554,939,939,940,
555,939,939,940,
556,939,939,940,
557,939,939,940,
558,940,939,940,
559,940,939,940,
560,939,939,940,
561,939,939,940,
562,939,938,939,
563,939,938,939,
564,940,939,939,
565,940,939,939,
566,939,939,939,
567,939,939,939,
568,940,939,939,
569,940,939,939,
570,941,939,937,
571,941,939,937,
572,940,939,939,
573,940,939,939,
574,940,939,941,
575,940,939,941,
576,940,939,941,
577,940,939,941,
578,939,939,941,
579,939,939,941,
580,940,939,939,
581,940,939,941,
582,940,939,941,
583,940,935,941,
584,940,935,941,
585,939,938,939,
586,939,938,939,
587,940,936,941,
588,940,936,941,
589,940,938,940,
590,940,938,940,
591,938,938,937,
592,938,938,937,
593,939,936,940,
594,939,936,940,
595,938,936,940,
596,938,936,940,
597,938,938,941,
598,938,938,941,
599,938,936,938,
600,938,936,938,
601,940,938,940,
602,940,938,940,
603,938,936,941,
604,938,936,941,
605,938,937,940,
606,938,937,940,
607,940,938,941,
608,940,938,941,
609,944,938,941,
610,944,938,941,
611,944,938,942,
612,944,938,942,
613,915,864,938,
614,915,864,938,
615,540,457,604,
616,540,457,604,
617,501,372,438,
618,501,372,438,
619,504,374,426,
620,504,374,426,
621,516,379,430,
622,516,379,430,
623,501,383,433,
624,493,353,424,
625,493,353,424,
626,486,368,430,
627,486,368,430,
628,511,390,442,
629,511,390,442,
630,613,403,426,
631,613,403,426,
632,932,731,654,
633,932,731,654,
634,937,934,921,
635,937,934,921,
636,938,938,936,
637,938,938,936,
638,938,936,936,
639,938,936,936,
640,938,938,937,
641,938,938,937,
642,938,936,936,
643,938,936,936,
644,940,937,936,
645,940,937,936,
646,940,938,936,
647,940,938,936,
648,939,938,936,
649,939,938,936,
650,940,937,935,
651,940,937,935,
652,941,936,936,
653,941,936,936,
654,940,937,936,
655,940,937,936,
656,941,936,936,
657,941,936,936,
658,941,937,936,
659,941,937,936,
660,942,937,935,
661,942,937,935,
662,941,937,936,
663,942,937,935,
664,942,937,935,
665,941,937,935,
666,941,937,935,
667,941,938,936,
668,941,938,936,
669,941,937,935,
670,941,937,935,
671,940,936,936,
672,940,936,936,
673,941,937,936,
674,941,937,936,
675,941,937,935,
676,941,937,935,
677,941,937,935,
678,941,937,935,
679,940,939,935,
680,940,939,935,
681,941,937,935,
682,941,937,935,
683,941,937,935,
684,941,937,935,
685,940,937,935,
686,940,937,935,
687,941,936,936,
688,941,936,936,
689,941,937,935,
690,941,937,935,
691,941,936,935,
692,941,936,935,
693,939,936,936,
694,939,936,936,
695,940,935,937,
696,940,935,937,
697,939,938,937,
698,939,938,937,
699,939,936,937,
700,939,936,937,
701,939,936,936,
702,939,936,936,
703,939,935,937,
704,939,935,937,
705,939,938,938,
706,939,938,938,
707,940,936,936,
708,940,936,936,
709,939,935,938,
710,939,935,938,
711,939,935,938,
712,939,935,937,
713,939,935,937,
714,939,935,937,
715,940,938,938,
716,940,937,938,
717,940,937,938,
718,940,937,938,
719,939,937,941,
720,939,937,940,
721,939,937,940,
722,940,937,939,
723,940,937,939,
724,939,937,941,
725,939,937,941,
726,939,937,941,
727,939,937,941,
728,940,937,939,
729,940,937,939,
730,939,937,941,
731,939,937,941,
732,939,937,939,
733,939,937,939,
734,939,935,939,
735,939,935,939,
736,939,937,938,
737,939,937,938,
738,939,937,941,
739,939,937,941,
740,940,937,939,
741,940,937,939,
742,939,937,939,
743,939,937,939,
744,940,937,941,
745,940,937,941,
746,938,937,941,
747,938,937,941,
748,938,935,939,
749,938,935,939,
750,937,935,939,
751,937,935,939,
752,939,934,938,
753,939,934,938,
754,939,935,937,
755,939,935,937,
756,939,935,938,
757,939,935,938,
758,939,935,937,
759,939,935,937,
760,940,936,937,
761,940,936,937,
762,939,935,936,
763,939,935,936,
764,940,935,937,
765,940,935,937,
766,939,934,936,
767,939,934,936,
768,939,935,936,
769,939,935,936,
770,939,935,937,
771,939,935,937,
772,939,935,937,
773,939,935,937,
774,939,934,936,
775,939,935,936,
776,939,935,936,
777,939,934,935,
778,939,934,935,
779,938,935,936,
780,938,935,936,
781,939,935,936,
782,939,935,936,
783,939,935,935,
784,939,935,935,
785,939,935,935,
786,939,935,935,
787,939,935,936,
788,939,935,936,
789,939,935,935,
790,939,935,935,
791,939,936,936,
792,939,936,936,
793,939,935,936,
794,939,935,936,
795,940,936,936,
796,940,936,936,
797,938,934,935,
798,938,934,935,
799,939,936,937,
800,939,936,937,
801,939,936,938,
802,939,936,938,
803,940,938,938,
804,940,938,938,
805,937,936,938,
806,937,936,938,
807,940,938,939,
808,940,938,939,
809,939,938,939,
810,939,938,939,
811,939,936,939,
812,939,936,939,
813,939,939,939,
814,939,939,939,
815,940,937,939,
816,940,937,939,
817,939,939,939,
818,939,939,939,
819,940,936,941,
820,940,936,941,
821,939,939,939,
822,939,939,939,
823,940,939,939,
824,940,939,939,
825,939,939,939,
826,939,937,939,
827,939,937,939,
828,940,939,939,
829,940,939,939,
830,943,938,941,
831,943,938,941,
832,943,938,941,
833,943,938,941,
834,938,935,940,
835,938,935,940,
836,938,935,940,
837,938,935,940,
838,939,931,938,
839,939,931,938,
840,939,933,937,
841,939,933,937,
842,939,931,937,
843,939,931,937,
844,939,931,937,
845,939,931,937,
846,939,931,937,
847,939,931,937,
848,939,933,937,
849,939,933,937,
850,939,932,936,
851,939,932,936,
852,940,933,937,
853,940,933,937,
854,939,933,936,
855,939,933,936,
856,940,933,935,
857,940,933,935,
858,940,932,936,
859,940,932,936,
860,939,932,936,
861,939,932,936,
862,939,932,936,
863,937,931,934,
864,937,931,934,
865,936,931,934,
866,936,931,934,
867,938,933,936,
868,938,933,936,
869,938,935,937,
870,938,935,937,
871,937,936,938,
872,937,936,938,
873,937,936,938,
874,937,936,938,
875,938,937,939,
876,938,937,939,
877,938,937,938,
878,938,937,938,
879,939,936,939,
880,939,936,939,
881,939,937,939,
882,939,937,939,
883,938,936,939,
884,938,936,939,
885,938,936,939,
886,938,936,939,
887,938,936,941,
888,938,936,941,
889,937,937,939,
890,937,937,939,
891,937,936,941,
892,937,936,941,
893,938,937,939,
894,938,937,939,
895,938,937,939,
896,938,937,939,
897,938,938,939,
898,938,938,939,
899,938,938,939,
900,938,938,939,
901,938,936,939,
902,938,940,938,
903,938,940,938,
904,938,938,938,
905,938,938,938,
906,937,938,938,
907,937,938,938,
908,938,939,938,
909,938,939,938,
910,938,938,938,
911,938,938,938,
912,938,939,937,
913,938,939,937,
914,939,938,937,
915,939,938,937,
916,939,937,937,
917,939,937,937,
918,939,938,937,
919,939,938,937,
920,940,938,937,
921,940,938,937,
922,941,938,936,
923,941,938,936,
924,940,937,936,
925,940,937,936,
926,941,937,936,
927,941,937,936,
928,941,936,936,
929,941,936,936,
930,940,936,936,
931,940,936,936,
932,940,936,937,
933,940,936,937,
934,938,934,936,
935,938,934,936,
936,938,935,936,
937,938,935,936,
938,937,934,936,
939,938,934,936,
940,938,934,936,
941,937,933,936,
942,937,933,936,
943,939,935,937,
944,939,935,937,
945,936,934,936,
946,936,934,936,
947,938,934,936,
948,938,934,936,
949,938,935,936,
950,938,935,936,
951,938,934,938,
952,938,934,938,
953,939,935,940,
954,939,935,940,
955,943,937,939,
956,943,937,939,
957,945,938,939,
958,945,938,939,
959,942,939,942,
960,942,939,942,
961,670,768,936,
962,670,768,936,
963,510,475,724,
964,510,475,724,
965,507,374,451,
966,507,374,451,
967,497,392,421,
