step,gs0,gs1,gs2,
485,935,792,890,
486,935,813,877,
487,935,813,877,
488,933,798,874,
489,933,798,874,
490,937,813,872,
491,937,813,872,
492,919,779,860,
493,919,779,860,
494,658,640,708,
495,658,640,708,
496,549,439,487,
497,549,439,487,
498,508,387,432,
499,508,387,432,
500,525,389,438,
501,525,389,438,
502,524,393,428,
503,524,393,428,
504,566,419,466,
505,892,536,593,
506,892,536,593,
507,939,844,906,
508,939,844,906,
509,943,929,936,
510,943,929,936,
511,943,931,937,
512,943,931,937,
513,944,931,937,
514,944,931,937,
515,943,932,937,
516,943,932,937,
517,944,931,937,
518,944,931,937,
519,944,931,937,
520,944,931,937,
521,943,931,937,
522,943,931,937,
523,943,931,939,
524,943,931,939,
525,943,931,937,
526,943,931,937,
527,944,931,937,
528,944,931,937,
529,943,931,939,
530,943,931,939,
531,943,931,937,
532,943,931,937,
533,943,928,937,
534,943,928,937,
535,942,928,937,
536,942,928,937,
537,942,929,937,
538,942,929,937,
539,943,929,937,
540,943,929,937,
541,941,929,937,
542,941,929,937,
543,943,928,937,
544,943,928,937,
545,942,929,936,
546,942,929,936,
547,943,931,937,
548,943,931,937,
549,943,929,937,
550,943,929,937,
551,942,929,937,
552,942,929,937,
553,942,929,937,
554,942,929,937,
555,942,929,937,
556,942,929,937,
557,942,928,937,
558,942,928,937,
559,943,905,935,
560,926,834,927,
561,926,834,927,
562,738,637,732,
563,738,637,732,
564,517,416,479,
565,517,416,479,
566,492,385,455,
567,492,385,455,
568,490,396,441,
569,490,396,441,
570,492,373,421,
571,492,373,421,
572,635,451,493,
573,635,451,493,
574,936,649,708,
575,936,649,708,
576,943,936,940,
577,943,936,940,
578,945,940,945,
579,945,940,945,
580,948,942,945,
581,948,942,945,
582,945,941,945,
583,945,941,945,
584,947,942,946,
585,947,942,946,
586,947,941,946,
587,947,941,946,
588,947,942,946,
589,947,942,946,
590,947,942,946,
591,947,942,946,
592,948,942,946,
593,948,942,946,
594,947,943,946,
595,947,943,946,
596,947,943,946,
597,947,943,946,
598,947,942,946,
599,947,942,946,
600,948,943,947,
601,949,943,946,
602,949,943,946,
603,949,943,946,
604,949,943,946,
605,949,943,947,
606,949,943,947,
607,949,943,947,
608,949,943,947,
609,948,943,946,
610,948,943,946,
611,949,943,946,
612,949,943,946,
613,950,943,946,
614,950,943,946,
615,950,944,946,
616,950,944,946,
617,949,943,945,
618,949,943,945,
619,949,944,946,
620,949,944,946,
621,949,944,946,
622,949,944,946,
623,950,943,946,
624,950,943,946,
625,950,943,945,
626,950,943,945,
627,951,944,946,
628,951,944,946,
629,940,931,939,
630,940,931,939,
631,596,637,721,
632,596,637,721,
633,525,400,452,
634,525,400,452,
635,509,369,431,
636,509,369,431,
637,510,373,410,
638,510,373,410,
639,515,376,434,
640,515,376,434,
641,500,381,421,
642,512,382,421,
643,512,382,421,
644,517,372,421,
645,517,372,421,
646,500,380,429,
647,500,380,429,
648,524,380,426,
649,524,380,426,
650,581,406,443,
651,581,406,443,
652,939,794,837,
653,939,794,837,
654,947,940,942,
655,947,940,942,
656,949,946,948,
657,949,946,948,
658,949,946,949,
659,949,946,949,
660,950,946,949,
661,950,946,949,
662,949,946,948,
663,949,946,948,
664,949,946,949,
665,949,946,949,
666,950,946,948,
667,950,946,948,
668,950,946,949,
669,950,946,949,
670,949,946,948,
671,949,946,948,
672,949,946,948,
673,949,946,948,
674,949,946,949,
675,949,946,949,
676,949,946,949,
677,949,946,949,
678,949,947,949,
679,950,946,948,
680,950,946,948,
681,950,947,949,
682,950,947,949,
683,950,947,949,
684,950,947,949,
685,951,947,949,
686,951,947,949,
687,950,947,949,
688,950,947,949,
689,950,947,949,
690,950,947,949,
691,952,948,950,
692,952,948,950,
693,951,947,950,
694,951,947,950,
695,951,947,949,
696,951,947,949,
697,951,948,949,
698,951,948,949,
699,951,947,949,
700,951,947,949,
701,951,947,949,
702,951,947,949,
703,952,947,949,
704,952,947,949,
705,949,947,949,
706,949,947,949,
707,951,947,949,
708,951,947,949,
709,951,947,949,
710,951,947,949,
711,950,949,950,
712,950,949,950,
713,952,949,949,
714,952,949,949,
715,950,948,949,
716,950,948,949,
717,951,947,950,
718,951,947,950,
719,951,948,948,
720,951,948,948,
721,952,946,949,
722,946,943,945,
723,946,943,945,
724,943,934,939,
725,943,934,939,
726,941,927,936,
727,941,927,936,
728,941,918,934,
729,941,918,934,
730,940,919,934,
731,940,919,934,
732,940,922,931,
733,940,922,931,
734,940,927,935,
735,940,927,935,
736,940,925,934,
737,940,925,934,
738,941,926,936,
739,941,926,936,
740,941,914,937,
741,941,914,937,
742,940,928,936,
743,940,928,936,
744,940,925,936,
745,940,925,936,
746,941,927,936,
747,941,927,936,
748,941,928,937,
749,941,928,937,
