step,tof,accX,accY,accZ,acc,incl,orient,roll,pitch,gyroX,gyroY,gyroZ,mic0,mic1,mic2,mic3,
21,32,-219,-113,680,723.2772827148438,19.91864013671875,62.70363998413086,-17.625160995784118,-8.988331113500362,30,-257,1250,11,8,10,9,
22,32,-249,-79,696,743.4097290039062,20.570716857910156,72.39420318603516,-19.56908172406349,-6.1001749663226565,47,59,238,12,8,9,10,
23,32,-219,-69,701,737.6469116210938,18.134098052978516,72.50883483886719,-17.2709048408149,-5.367333226848607,-87,-481,483,11,6,7,8,
24,32,-212,-59,728,760.5320434570312,16.816638946533203,74.44490051269531,-16.185747612046587,-4.449320614255701,-90,-89,129,10,8,8,10,
25,25,-228,-133,783,826.2941284179688,18.627321243286133,59.74001693725586,-16.017491285295247,-9.262601061547016,-25,-13,-342,6,9,9,7,
26,25,-238,-142,779,826.8306884765625,19.581806182861328,59.17449951171875,-16.72904966052199,-9.889008532855085,-285,-111,-1061,8,9,7,7,
27,25,-216,-97,711,749.3904418945312,18.41691780090332,65.81301879882812,-16.752273807456866,-7.437148773015229,-196,93,-389,8,6,9,6,
28,25,-240,-128,723,772.4719848632812,20.61476707458496,61.924034118652344,-18.100870480199927,-9.53800573582549,-78,-89,1051,11,7,11,10,
29,25,-246,-87,720,765.8230590820312,19.91866111755371,70.52019500732422,-18.736903710894584,-6.523069841479388,341,-403,706,6,5,7,9,
30,26,-224,-124,744,786.8214721679688,18.98767852783203,61.02882766723633,-16.54030412640554,-9.0673932653114,48,205,377,12,8,9,9,
31,26,-230,-165,767,817.56591796875,20.254674911499023,54.34096145629883,-16.339174669857908,-11.643325617770714,72,-145,-1009,9,8,6,7,
32,26,-255,-75,754,799.4785766601562,19.416532516479492,73.6073226928711,-18.599914122988107,-5.38289777756879,316,192,-782,7,7,8,7,
33,26,-231,-108,692,737.48828125,20.22663688659668,64.93898010253906,-18.253710333149655,-8.420849072435914,-71,-154,128,12,7,7,10,
34,26,-208,-106,746,781.6751098632812,17.374784469604492,62.99245834350586,-15.432040024220253,-7.793675447829917,-137,239,104,6,6,6,8,
35,28,-230,-131,740,785.9141235351562,19.679529190063477,60.332130432128906,-17.016844735679772,-9.595126552096787,-177,-52,1465,8,7,6,7,
36,28,-223,-132,753,796.3428955078125,18.98839569091797,59.37396240234375,-16.26200272239148,-9.5412560997613,-8,-176,126,8,5,9,8,
37,28,-255,-84,705,754.3911743164062,20.84585952758789,71.76432037353516,-19.756344501424433,-6.39303187535292,99,-174,-96,7,6,9,8,
38,28,-224,-119,724,767.14599609375,19.305400848388672,62.01704788208008,-16.977212996287715,-8.92377943526205,-93,-197,-249,7,9,7,8,
39,30,-244,-146,692,748.1417236328125,22.335908889770508,59.101783752441406,-19.03474226610002,-11.253497836770837,457,-441,-825,8,6,10,8,
40,30,-221,-52,732,766.4000244140625,17.229516983032227,76.75643920898438,-16.759866431058835,-3.890489497778614,71,-313,228,12,9,10,11,
41,30,-207,-96,740,774.38037109375,17.13489532470703,65.11624145507812,-15.504287543543292,-7.121283113270833,-88,-50,201,11,6,9,9,
42,30,-211,-107,717,755.0225219726562,18.258596420288086,63.1065788269043,-16.22808972524201,-8.14725017671609,-115,-528,293,13,10,10,9,
43,30,-247,-91,693,741.3089599609375,20.796796798706055,69.77188873291016,-19.462777692465295,-7.051176284873066,140,-93,1348,10,11,9,5,
